rank,wordform,count,per_million
80,ахы,5122,779.9
81,амца,5110,778.1
82,зынӡа,5066,771.4
83,макьана,5064,771.1
84,аҟны,4988,759.5
85,ак,4937,751.8
86,уажәшьҭа,4931,750.8
87,ашә,4867,741.1
88,саб,4829,735.3
89,шаҟа,4669,711.0
90,аибашьра,4654,708.7
91,ас,4615,702.7
92,амала,4602,700.8
93,рҿы,4569,695.7
94,акәхап,4524,688.9
95,ажәа,4518,688.0
96,абра,4480,682.2
97,абар,4463,679.6
98,рыла,4419,672.9
99,усгьы,4414,672.1
100,иаргьы,4385,667.7
101,сареи,4367,665.0
102,иҟан,4351,662.5
103,наҟ,4324,658.4
104,амш,4316,657.2
105,араҟа,4312,656.6
106,инапы,4298,654.5
107,агәра,4298,654.5
108,аԥсуаа,4275,651.0
109,лгәы,4172,635.3
110,роуп,4160,633.4
111,уаҟа,4087,622.3
112,иаразнак,4042,615.5
113,иоуп,4005,609.8
114,уаҩы,3979,605.9
115,аҩныҟа,3947,601.0
116,рхы,3880,590.8
117,ҿыц,3865,588.5
118,абарҭ,3813,580.6
119,аӡә,3808,579.8
120,иԥсы,3807,579.7
121,сан,3806,579.5
122,раԥхьа,3776,575.0
123,рзы,3772,574.4
124,иаҳа,3752,571.3
125,иҳәан,3742,569.8
126,аԥсҭазаара,3723,566.9
127,ргәы,3695,562.6
128,дад,3687,561.4
129,цқьа,3657,556.9
130,угәы,3650,555.8
131,маҷк,3623,551.7
132,уажә,3609,549.5
133,ааи,3592,547.0
134,аҭак,3586,546.0
135,баша,3503,533.4
136,аҳ,3500,532.9
137,рахь,3496,532.3
138,егьырҭ,3475,529.1
139,дцеит,3471,528.5
140,лҳәеит,3443,524.3
141,абжьы,3433,522.7
142,аҩыза,3403,518.2
143,дыҟан,3400,517.7
144,иалагеит,3383,515.1
145,акәымзар,3381,514.8
146,еиҳа,3380,514.7
147,иареи,3374,513.8
148,ани,3361,511.8
149,реиԥш,3249,494.7
150,ақалақь,3225,491.1
151,лхы,3197,486.8
152,ашҭа,3194,486.4
153,уаҩ,3141,478.3
154,мацара,3140,478.1
155,аҭыԥ,3117,474.6
156,насгьы,3074,468.1
157,уаха,3050,464.4
158,аа,3016,459.3
159,ашәа,2996,456.2
160,иахь,2972,452.6
161,ахәыҷқәа,2961,450.9
162,ицеит,2945,448.4
163,рҳәеит,2936,447.1
164,егьи,2930,446.2
165,аҟара,2929,446.0
166,хәыҷы,2918,444.3
167,дук,2879,438.4
168,сыԥсы,2860,435.5
169,аҽны,2842,432.8
170,аиаша,2834,431.5
171,мшәан,2811,428.0
172,аԥҳәыс,2811,428.0
173,агәы,2808,427.6
174,аҵх,2807,427.4
175,иаб,2764,420.9
176,еснагь,2737,416.8
177,иҟалаз,2730,415.7
178,иан,2730,415.7
179,аҷкәын,2706,412.0
180,ашьха,2671,406.7
181,ашәҟәы,2662,405.3
182,ыҟоуп,2655,404.3
183,аҟәа,2652,403.8
184,аамҭазы,2642,402.3
185,ашкол,2636,401.4
186,аԥша,2616,398.3
187,сыҟоуп,2610,397.4
188,иҿы,2610,397.4
189,акәзар,2599,395.8
190,ақыҭа,2588,394.1
191,нан,2574,391.9
192,ухы,2545,387.5
193,ҟалап,2539,386.6
194,далагеит,2533,385.7
195,иакәын,2532,385.6
196,ҳаи,2527,384.8
197,иԥҳәыс,2525,384.5
198,амашьына,2518,383.4
199,апоет,2517,383.3
200,ҩыџьа,2510,382.2
201,уаҵәы,2480,377.6
202,иажәа,2468,375.8
203,агәашә,2466,375.5
204,уигьы,2453,373.5
205,заҵәык,2434,370.6
206,ахаҵа,2427,369.6
207,ашьыжь,2405,366.2
208,рыцҳа,2393,364.4
209,аԥсы,2369,360.7
210,иаҿын,2369,360.7
211,ҟалоит,2345,357.1
212,ҳа,2334,355.4
213,аԥхьа,2329,354.6
214,хара,2327,354.3
215,адәы,2320,353.3
216,аҵла,2319,353.1
217,абна,2318,353.0
218,ҽнак,2315,352.5
219,акәым,2307,351.3
220,ахәыҷы,2302,350.5
221,игылаз,2299,350.1
222,уаргьы,2279,347.0
223,ракәын,2262,344.4
224,ҿааиҭит,2226,339.0
225,сҭахуп,2225,338.8
226,знык,2223,338.5
227,избанзар,2220,338.0
228,дааит,2219,337.9
229,аӷа,2211,336.7
230,даҿын,2204,335.6
231,ҩаԥхьа,2202,335.3
232,иеиԥш,2197,334.5
233,ауаҩ,2197,334.5
234,ацәа,2189,333.3
235,арԥыс,2171,330.6
236,ада,2154,328.0
237,иблақәа,2148,327.1
238,ахра,2145,326.6
239,асы,2130,324.3
240,атәы,2125,323.6
241,иарбан,2117,322.4
242,ашьшьыҳәа,2108,321.0
243,аҵара,2108,321.0
244,дыҟоуп,2107,320.8
245,аԥсра,2085,317.5
246,инаркны,2076,316.1
247,хыхь,2071,315.4
248,аԥшәма,2071,315.4
249,жәлар,2066,314.6
250,иахьагьы,2057,313.2
251,дгылан,2046,311.5
252,заҟа,2037,310.2
253,рацәак,2016,307.0
254,иман,2015,306.8
255,иҩызцәа,2010,306.1
256,ауха,2010,306.1
257,хәыҷык,2006,305.5
258,шықәса,2000,304.5
259,ииҳәаз,1989,302.9
260,ҳаргьы,1986,302.4
261,змоу,1979,301.3
262,анакәха,1965,299.2
263,аҵыхәтәан,1959,298.3
264,илаԥш,1950,296.9
265,аԥсабара,1941,295.6
266,ажәақәа,1924,293.0
267,кны,1919,292.2
268,азҵаара,1911,291.0
269,избан,1907,290.4
270,аӡӷаб,1905,290.1
271,ан,1902,289.6
272,еиҭа,1901,289.5
273,ицон,1899,289.2
274,аусура,1895,288.6
275,иҩны,1891,287.9
276,зхы,1879,286.1
277,иԥа,1867,284.3
278,ыҟан,1853,282.2
279,аҟнытә,1844,280.8
280,убасҟан,1830,278.7
281,реиҳа,1820,277.1
282,астол,1815,276.4
283,ԥҳәыс,1811,275.8
284,аԥсшәа,1803,274.5
285,иҿынеихеит,1801,274.2
286,азыҳәан,1785,271.8
287,ибла,1779,270.9
288,ихаҭа,1778,270.7
289,анышә,1777,270.6
290,аҟынӡа,1769,269.4
291,амза,1768,269.2
292,дуқәа,1765,268.8
293,ҵаҟа,1764,268.6
294,сҳәеит,1762,268.3
295,аллаҳ,1758,267.7
296,абџьар,1730,263.4
297,ҭынч,1728,263.1
298,абраҟа,1719,261.8
299,ицоит,1714,261.0
300,иҟам,1707,259.9
301,рыԥсы,1698,258.6
302,џьоукы,1697,258.4
303,ахаҳә,1690,257.3
304,соуп,1689,257.2
305,дҵааит,1687,256.9
306,еиҭах,1670,254.3
307,ашьа,1667,253.8
308,ажәабжь,1657,252.3
309,иаҿуп,1650,251.2
310,ар,1636,249.1
311,ԥсыхәа,1634,248.8
312,даараӡа,1631,248.4
313,убарҭ,1620,246.7
314,изы,1619,246.5
315,ларгьы,1615,245.9
316,ақәа,1606,244.5
317,аҭаҳмада,1599,243.5
318,иаԥхьа,1572,239.4
319,азин,1566,238.5
320,иахьатәи,1563,238.0
321,аҵыхәтәантәи,1560,237.5
322,аҷкәынцәа,1559,237.4
323,уаанӡа,1551,236.2
324,издыруеит,1547,235.6
325,издыруада,1547,235.6
326,убра,1541,234.7
327,заа,1541,234.7
328,лыбжьы,1540,234.5
329,есымша,1534,233.6
330,хымԥада,1529,232.8
331,рҳәоит,1529,232.8
332,аҽы,1529,232.8
333,чагә,1528,232.7
334,аиҳабы,1526,232.4
335,избоит,1509,229.8
336,цәгьа,1509,229.8
337,ацәажәара,1508,229.6
338,змам,1507,229.5
339,аԥара,1507,229.5
340,раԥхьаӡа,1505,229.2
341,мамзаргьы,1502,228.7
342,ашҟа,1501,228.6
343,уажәраанӡа,1497,228.0
344,аиааира,1492,227.2
345,бзиоуп,1487,226.4
346,игылан,1487,226.4
347,аахыс,1486,226.3
348,ибзианы,1484,226.0
349,аҳәара,1480,225.4
350,акоуп,1474,224.4
351,даацәажәеит,1470,223.8
352,рыбжьара,1460,222.3
353,ааигәа,1451,220.9
354,ажәак,1448,220.5
355,аҳәынҭқар,1447,220.3
356,даргьы,1437,218.8
357,зны-зынла,1436,218.7
358,ибеит,1431,217.9
359,еиҳагьы,1430,217.7
360,аԥҳәызба,1429,217.6
361,аӡиас,1428,217.4
362,егьа,1427,217.3
363,хьаас,1424,216.8
364,ԥхьаҟа,1422,216.5
365,ыҟам,1414,215.3
366,адәахьы,1410,214.7
367,адырра,1409,214.6
368,шьоукы,1400,213.2
369,лнапы,1399,213.0
370,аҳәынҭқарра,1393,212.1
371,кыр,1393,212.1
372,ибон,1384,210.7
373,ҳаҭыр,1383,210.6
374,хаҵа,1378,209.8
375,згәы,1375,209.4
376,дыҟам,1373,209.1
377,ҳхы,1368,208.3
378,сыздыруам,1368,208.3
379,ахацәа,1367,208.2
380,нахыс,1365,207.9
381,уҳәа,1362,207.4
382,лахь,1358,206.8
383,иашьа,1356,206.5
384,иманы,1356,206.5
385,иҟоузеи,1355,206.3
386,мчыла,1354,206.2
387,аусқәа,1353,206.0
388,ҳгәы,1352,205.9
389,ихала,1350,205.6
390,ушьҭа,1350,205.6
391,збоит,1347,205.1
392,иҟалап,1345,204.8
393,ухаҵкы,1343,204.5
394,арахә,1343,204.5
395,ашьхақәа,1340,204.0
396,раԥхьатәи,1340,204.0
397,ахәы,1339,203.9
398,аҩы,1337,203.6
399,дтәан,1328,202.2
400,аҩбатәи,1328,202.2
401,аурыс,1324,201.6
402,акәымкәа,1324,201.6
403,марҭа,1316,200.4
404,уаа,1310,199.5
405,асас,1309,199.3
406,аҵкыс,1309,199.3
407,аума,1307,199.0
408,идыруан,1306,198.9
409,леуанти,1306,198.9
410,иҽы,1303,198.4
411,лхаҵа,1303,198.4
412,ԥыҭрак,1301,198.1
413,абзиабара,1294,197.0
414,сыбла,1294,197.0
415,ахьӡ,1293,196.9
416,иаха,1285,195.7
417,змаз,1285,195.7
418,шкәакәа,1282,195.2
419,акәу,1280,194.9
420,ахаан,1278,194.6
421,алашара,1270,193.4
422,џьаргьы,1269,193.2
423,ажәеинраала,1268,193.1
424,акәхарын,1266,192.8
425,ҳәарада,1266,192.8
426,ҳарҭ,1265,192.6
427,иажәақәа,1259,191.7
428,актәи,1258,191.6
429,азоуп,1256,191.3
430,иаҳагьы,1254,190.9
431,адырҩаҽны,1253,190.8
432,аҭоурых,1251,190.5
433,урҭгьы,1249,190.2
434,иҭабуп,1248,190.0
435,ацара,1245,189.6
436,рышьҭахь,1243,189.3
437,мамзар,1239,188.7
438,шьоук,1235,188.1
439,снапы,1234,187.9
440,уареи,1231,187.4
441,ԥыҭк,1222,186.1
442,ибзиоуп,1221,185.9
443,алхас,1213,184.7
444,саԥхьа,1209,184.1
445,сцоит,1206,183.6
446,амҩан,1200,182.7
447,лассы,1197,182.3
448,ачара,1195,182.0
449,иԥҳа,1193,181.7
450,иҵегь,1187,180.7
451,иҩыза,1186,180.6
452,аамҭаз,1184,180.3
453,аҭагылазаашьа,1184,180.3
454,ихьӡ,1184,180.3
455,дҩагылан,1183,180.1
456,рыбжьы,1182,180.0
457,амч,1176,179.1
458,иабаҟоу,1172,178.5
459,уамак,1160,176.6
460,иҟалеит,1160,176.6
461,аҳәса,1152,175.4
462,асҭамыр,1150,175.1
463,аҳауа,1147,174.7
464,ба,1147,174.7
465,иагьа,1147,174.7
466,иааит,1144,174.2
467,абыржәы,1141,173.7
468,рацәа,1137,173.1
469,аҟынтә,1137,173.1
470,ажәакала,1134,172.7
471,схала,1132,172.4
472,злоу,1126,171.5
473,пату,1125,171.3
474,лаб,1124,171.2
475,ацҳа,1123,171.0
476,аб,1122,170.8
477,зыӡбахә,1121,170.7
478,ақырҭуа,1118,170.2
479,иҭахын,1117,170.1
480,дналагеит,1109,168.9
481,рацәоуп,1108,168.7
482,сыҟан,1107,168.6
483,иаарласны,1105,168.3
484,шыҟаз,1104,168.1
485,иҷкәын,1102,167.8
486,дырҩегьых,1099,167.3
487,рҟны,1098,167.2
488,аиԥш,1097,167.0
489,иацы,1093,166.4
490,уамашәа,1090,166.0
491,асасцәа,1090,166.0
492,лареи,1082,164.8
493,алиас,1079,164.3
494,уца,1074,163.5
495,дарбан,1074,163.5
496,дыҟамызт,1073,163.4
497,асовет,1072,163.2
498,уеизгьы,1071,163.1
499,сасрыҟәа,1067,162.5
500,ҟалеит,1066,162.3
501,хәыҷ,1064,162.0
502,сашьа,1062,161.7
503,ҽа,1060,161.4
504,ҟаиҵеит,1059,161.3
505,сыҷкәын,1058,161.1
506,ҳәагьы,1058,161.1
507,инапқәа,1057,161.0
508,итәаз,1057,161.0
509,ԥшӡа,1055,160.6
510,ишыҟаз,1054,160.5
511,акраамҭа,1053,160.3
512,иҭаз,1051,160.0
513,акәӡам,1048,159.6
514,ирласны,1046,159.3
515,уԥсы,1042,158.7
516,иаалырҟьаны,1039,158.2
517,аиҳабыра,1039,158.2
518,аҵыхәтәаны,1038,158.1
519,ахада,1038,158.1
520,уажәыҵәҟьа,1032,157.1
521,ашырҳәа,1032,157.1
522,уажәгьы,1028,156.5
523,днеин,1027,156.4
524,аҭакәажә,1027,156.4
525,ишыҟоу,1024,155.9
526,дуӡӡа,1022,155.6
527,даҽаӡәы,1019,155.2
528,ирҳәо,1019,155.2
529,бызшәа,1015,154.6
530,аҿар,1014,154.4
531,лыблақәа,1013,154.3
532,адгәыр,1011,153.9
533,урҭқәа,1008,153.5
534,уан,1006,153.2
535,зынӡак,1006,153.2
536,сааит,1004,152.9
537,сабду,1002,152.6
538,наҟ-ааҟ,1001,152.4
539,аӷба,999,152.1
540,ауада,999,152.1
541,днеины,995,151.5
542,амҩаду,995,151.5
543,аиеи,994,151.4
544,лан,993,151.2
545,еиҳарак,992,151.1
546,днеит,992,151.1
547,аниба,992,151.1
548,бгәы,991,150.9
549,ахьҭа,989,150.6
550,амшқәа,986,150.1
551,мыжда,984,149.8
552,игылоуп,982,149.5
553,иҭоу,981,149.4
554,амла,980,149.2
555,сцеит,979,149.1
556,аизара,978,148.9
557,сылаԥш,978,148.9
558,ишьапы,975,148.5
559,илахь,972,148.0
560,аҟынтәи,969,147.6
561,аҭаҭын,969,147.6
562,ауеит,968,147.4
563,адҵа,967,147.2
564,аҵых,966,147.1
565,даҽакала,966,147.1
566,закәызеи,965,146.9
567,лоуп,964,146.8
568,аарла,964,146.8
569,аӡәыр,960,146.2
570,лакәын,960,146.2
571,баҭал,958,145.9
572,абзиара,956,145.6
573,илымҳа,952,145.0
574,сымҩа,952,145.0
575,лҳәан,950,144.7
576,рҳәан,949,144.5
577,ыҟаӡам,947,144.2
578,имоуп,947,144.2
579,умбои,947,144.2
580,иамоу,945,143.9
581,ҳажәлар,945,143.9
582,ҳазшаз,945,143.9
583,имаз,944,143.7
584,асҭанда,944,143.7
585,ацхыраара,943,143.6
586,дшыҟаз,939,143.0
587,аишьцәа,936,142.5
588,мҩа,934,142.2
589,аӡбахә,931,141.8
590,иҳәон,930,141.6
591,атәыла,926,141.0
592,шьҭахьҟа,923,140.5
593,уажәы-уажәы,922,140.4
594,анхацәа,918,139.8
595,гәаныла,916,139.5
596,сҩыза,915,139.3
597,дахьтәаз,913,139.0
598,уск,912,138.9
599,бзиала,912,138.9
600,ауаҩытәыҩса,911,138.7
601,хазы,911,138.7
602,шыҟоу,911,138.7
603,абарҭқәа,908,138.3
604,иԥсҭазаара,900,137.0
605,асааҭ,900,137.0
606,уааи,900,137.0
607,адәыӷба,899,136.9
608,ишҟа,898,136.7
609,ажәытә,897,136.6
610,ахҭыс,897,136.6
611,аартны,896,136.4
612,аӡыхь,895,136.3
613,уаб,894,136.1
614,зыԥсы,893,136.0
615,ихы-иҿы,892,135.8
616,иаҳҳәап,892,135.8
617,сымоуп,892,135.8
618,дышнеиуаз,891,135.7
619,баҭыр,890,135.5
620,азын,888,135.2
621,аԥҭа,886,134.9
622,алашьцара,882,134.3
623,акәхеит,882,134.3
624,ԥшьаала,877,133.5
625,хәыҷқәа,876,133.4
626,еиӷьуп,876,133.4
627,сзы,874,133.1
628,иаҳа-иаҳа,872,132.8
629,ашьапы,871,132.6
630,аҵыхәа,870,132.5
631,суҳәоит,868,132.2
632,нарҭаа,867,132.0
633,акагьы,867,132.0
634,сҩызцәа,866,131.9
635,ҩба,866,131.9
636,лыԥсы,859,130.8
637,амоуп,858,130.6
638,араион,855,130.2
639,аҩыџьагьы,854,130.0
640,ҟаҵаны,854,130.0
641,ашара,853,129.9
642,азна,848,129.1
643,сҭахын,848,129.1
644,иага,847,129.0
645,мчыбжьык,847,129.0
646,аҭаца,846,128.8
647,акәзаргьы,845,128.7
648,еиқәаҵәа,844,128.5
649,анаџьалбеит,843,128.4
650,хҩык,843,128.4
651,иаҳәшьа,843,128.4
652,ахақәиҭра,842,128.2
653,маӡала,841,128.1
654,ахара,839,127.8
655,уоуп,839,127.8
656,аҵәы,838,127.6
657,аҭынчра,834,127.0
658,дцон,833,126.8
659,даду,832,126.7
660,ашықәс,830,126.4
661,изакәызеи,829,126.2
662,аԥсуара,827,125.9
663,аԥенџьыр,824,125.5
664,дабаҟоу,824,125.5
665,лҿы,821,125.0
666,иакәзар,820,124.9
667,аҩада,816,124.3
668,мыцхәы,816,124.3
669,ицаз,816,124.3
670,ӷәӷәа,816,124.3
671,ашәҭқәа,814,123.9
672,аишәа,813,123.8
673,аԥсадгьыл,810,123.3
674,рахьтә,809,123.2
675,иҟамызт,809,123.2
676,мышкы,808,123.0
677,аԥсныҟа,807,122.9
678,анхаҩы,805,122.6
679,насыԥ,805,122.6
680,кәасҭа,804,122.4
681,шықәсык,804,122.4
682,рҳәон,804,122.4
683,акырӡа,799,121.7
684,акыраамҭа,798,121.5
685,мамоу,796,121.2
686,иҟалазеи,795,121.1
687,лыбла,794,120.9
688,сыблақәа,793,120.8
689,ахаангьы,792,120.6
690,аҵаҟа,792,120.6
691,рацәаны,791,120.4
692,анҭ,791,120.4
693,ирҳәоит,790,120.3
694,шәарҭ,790,120.3
695,шәгәы,790,120.3
696,ахьы,787,119.8
697,дахьгылаз,786,119.7
698,ааԥын,786,119.7
699,рнапқәа,785,119.5
700,снеиуеит,785,119.5
701,рнапы,783,119.2
702,аамҭала,783,119.2
703,иҟалоит,781,118.9
704,аҩызцәа,778,118.5
705,нахьхьи,777,118.3
706,рымоуп,776,118.2
707,дцоит,776,118.2
708,азҵаарақәа,775,118.0
709,аҵлақәа,775,118.0
710,аԥхӡы,774,117.9
711,мырҵыкәа,774,117.9
712,аҭаацәа,773,117.7
713,ааит,771,117.4
714,бзиак,770,117.2
715,гагра,768,116.9
716,ҳараз,768,116.9
717,аасҭа,764,116.3
718,иҟны,762,116.0
719,сымам,760,115.7
720,ҭакәи,760,115.7
721,ганы,759,115.6
722,ида,756,115.1
723,дааины,755,115.0
724,иван,754,114.8
725,аан,753,114.7
726,амал,752,114.5
727,ҟаларын,751,114.4
728,убасҟак,751,114.4
729,иаанагоит,748,113.9
730,зынӡаск,746,113.6
731,алшоит,745,113.4
732,баргьы,744,113.3
733,наҳар,744,113.3
734,бзианы,743,113.1
735,ицәа,742,113.0
736,иӡбахә,742,113.0
737,исҳәо,741,112.8
738,уимоу,741,112.8
739,иашоуп,739,112.5
740,шаанӡа,738,112.4
741,иус,735,111.9
742,аҽқәа,732,111.5
743,кьагәа,732,111.5
744,згеит,730,111.2
745,имҩа,730,111.2
746,ахьыҟоу,730,111.2
747,ирымаз,729,111.0
748,абааԥсы,728,110.9
749,аҟәара,728,110.9
750,урыстәыла,728,110.9
751,иҭоуп,727,110.7
752,наӡаӡа,726,110.5
753,ӷәӷәала,725,110.4
754,ҳаџьараҭ,725,110.4
755,ақырҭцәа,725,110.4
756,имашьына,724,110.2
757,ианалага,723,110.1
758,абни,722,109.9
759,амардуан,722,109.9
760,иаанаго,721,109.8
761,рыман,721,109.8
762,аҩныҵҟа,720,109.6
763,есааира,716,109.0
764,аҟаҵара,715,108.9
765,саида,715,108.9
766,ахә,714,108.7
767,рыда,714,108.7
768,џьанар,714,108.7
769,ақьаад,713,108.6
770,иҭыԥ,712,108.4
771,амам,710,108.1
772,амц,709,108.0
773,ашәҟәыҩҩы,709,108.0
774,шәаргьы,709,108.0
775,руак,708,107.8
776,иҳәоит,708,107.8
777,идыруеит,708,107.8
778,ҳаҟоуп,708,107.8
779,аҳәсақәа,707,107.7
780,сшәоит,706,107.5
781,сыбжьы,706,107.5
782,ашықәсқәа,706,107.5
783,амҩақәа,704,107.2
784,дгылоуп,704,107.2
785,данааи,704,107.2
786,леиԥш,703,107.0
787,слымҳа,703,107.0
788,ихаҿы,703,107.0
789,ԥҳәыск,702,106.9
790,лассы-лассы,701,106.7
791,ахԥатәи,700,106.6
792,алақәа,700,106.6
793,шьасиа,699,106.4
794,ихаҭагьы,699,106.4
795,игылоу,699,106.4
796,уахык,699,106.4
797,ихәда,698,106.3
798,раан,697,106.1
799,амаҭ,697,106.1
800,дасу,696,106.0
801,абла,696,106.0
802,нестор,696,106.0
803,аԥсҳа,694,105.7
804,ртәы,694,105.7
805,цеит,694,105.7
806,агәыӷра,693,105.5
807,дыҟаӡам,692,105.4
808,сталин,692,105.4
809,аколнхара,691,105.2
810,лыҷкәын,690,105.1
811,ҟаԥшь,690,105.1
812,еиҳараӡак,690,105.1
813,бжьык,689,104.9
814,ила,689,104.9
815,даҿуп,687,104.6
816,изымдыруа,686,104.5
817,ҳареи,685,104.3
818,аргама,685,104.3
819,исгәалашәоит,684,104.2
820,иалоуп,683,104.0
821,зымҩа,683,104.0
822,егьырҭгьы,682,103.8
823,исҭахуп,682,103.8
824,ахшара,681,103.7
825,ахаҭа,680,103.5
826,аҵыс,680,103.5
827,иани,679,103.4
828,ыҟамызт,678,103.2
829,ракәзар,678,103.2
830,ицоз,677,103.1
831,агәырҩа,676,102.9
832,хьшәашәа,676,102.9
833,иаанхаз,675,102.8
834,иааз,675,102.8
835,заур,673,102.5
836,рханы,673,102.5
837,агәҭа,672,102.3
838,рҿынархеит,672,102.3
839,автобус,671,102.2
840,ҟалом,671,102.2
841,иаҵәа,671,102.2
842,агазеҭ,669,101.9
843,ииҳәо,668,101.7
844,аганахь,668,101.7
845,змамыз,668,101.7
846,абрахь,668,101.7
847,рымҩа,667,101.6
848,ицо,667,101.6
849,дызусҭада,667,101.6
850,абарҵа,666,101.4
851,афатә,666,101.4
852,салагеит,666,101.4
853,иҟаиҵаз,665,101.3
854,ҳаԥсы,665,101.3
855,анасыԥ,663,101.0
856,анкьа,663,101.0
857,ишԥа,662,100.8
858,напы,662,100.8
859,ҳаҩны,661,100.7
860,аԥхыӡ,660,100.5
861,даҽакы,660,100.5
862,аӡын,660,100.5
863,днеиуан,659,100.3
864,иааиз,658,100.2
865,здыруеит,658,100.2
866,мзауҭ,658,100.2
867,иҿаԥхьа,657,100.0
868,ашәҟәқәа,657,100.0
869,ибоит,657,100.0
870,адагьы,656,99.9
871,изыҳәан,653,99.4
872,афронт,652,99.3
873,исҳәаз,652,99.3
874,шәа,652,99.3
875,ами,650,99.0
876,еҳ,650,99.0
877,ашьац,649,98.8
878,бжьы,649,98.8
879,бзиан,648,98.7
880,закәытә,648,98.7
881,аиашаз,647,98.5
882,унапы,645,98.2
883,иҵегьы,644,98.1
884,сҿы,644,98.1
885,ача,644,98.1
886,иааиуа,643,97.9
887,анаҩс,643,97.9
888,шакәу,643,97.9
889,аӷәра,643,97.9
890,маӡа,643,97.9
891,ахҭысқәа,640,97.5
892,дҩагылеит,640,97.5
893,збеит,639,97.3
894,итәан,638,97.1
895,аеҵәақәа,637,97.0
896,асахьа,637,97.0
897,геит,637,97.0
898,уахынла,636,96.8
899,шьҭыхны,636,96.8
900,ахышә,635,96.7
901,дареи,635,96.7
902,ҭыԥ,634,96.5
903,шьапыла,634,96.5
904,дгьыл,633,96.4
905,сҳәан,633,96.4
906,уиаҟара,633,96.4
907,арԥарцәа,633,96.4
908,аԥа,632,96.2
909,рыхқәа,632,96.2
910,аџьабаа,632,96.2
911,аҩра,631,96.1
912,акымзарак,631,96.1
913,акырынтә,630,95.9
914,инациҵеит,630,95.9
915,имч,630,95.9
916,сынтәа,629,95.8
917,лаша,628,95.6
918,хьымца,627,95.5
919,издыруа,625,95.2
920,рҭыԥ,625,95.2
921,дындәылҵит,625,95.2
922,еиуеиԥшым,624,95.0
923,сҭахым,623,94.9
924,арҩаш,623,94.9
925,алада,621,94.6
926,иашьцәа,621,94.6
927,исыздыруам,620,94.4
928,инеиуан,620,94.4
929,иаҳаз,618,94.1
930,лакоба,618,94.1
931,аҳақьым,616,93.8
932,лҿыналхеит,616,93.8
933,сеидру,616,93.8
934,иҟаӡам,616,93.8
935,аган,615,93.6
936,зынӡагьы,614,93.5
937,аҿаԥхьа,614,93.5
938,ацәгьа,613,93.3
939,хаҭала,613,93.3
940,шәхы,613,93.3
941,шәҟәы,613,93.3
942,игеит,613,93.3
943,мҩак,612,93.2
944,аԥхьаҩ,612,93.2
945,уҭахызар,612,93.2
946,ҟалаӡом,611,93.0
947,рхала,610,92.9
948,иалоу,610,92.9
949,уажәазы,609,92.7
950,ажәеинраалақәа,609,92.7
951,амшә,609,92.7
952,инхаз,609,92.7
953,иеиҳәеит,609,92.7
954,сажәа,608,92.6
955,ҿымҭӡакәа,608,92.6
956,ыы,608,92.6
957,хаа,607,92.4
958,убригьы,607,92.4
959,аԥсышәала,607,92.4
960,акәац,607,92.4
961,хар,606,92.3
962,жәҩан,606,92.3
963,рус,606,92.3
964,рхәы,605,92.1
965,агәарԥ,604,92.0
